,VIX,VIX3M,MOVE,HYG,IEF,XLY,XLP,SPX,VIX_TS,HYG_IEF,XLY_XLP,cluster_Vol,cluster_Credit,cluster_Risk_Off,ind_pct_VIX,ind_pct_VIX_TS,ind_pct_MOVE,ind_pct_HYG_IEF,ind_pct_XLY_XLP,regime,max_dd_20d,pre_crash,fwd_5d,fwd_20d,fwd_60d
2019-07-17,13.970000267028809,15.819999694824219,62.290000915527344,86.69999694824219,109.55000305175781,61.564998626708984,59.91999816894531,2984.419921875,0.8830594523715023,0.791419393272678,1.027453279506544,0.8412698412698413,0.9007936507936508,0.39682539682539686,0.36507936507936506,0.35714285714285715,0.8412698412698413,0.9007936507936508,0.39682539682539686,B_Erhoeht,-0.04819021048766936,False,0.011774528262990858,-0.04819021048766936,-0.015510564958773565
2019-07-18,13.529999732971191,15.539999961853027,63.119998931884766,86.73999786376953,109.81999969482422,61.48500061035156,60.31999969482422,2995.110107421875,0.8706563556103022,0.7898378993335361,1.0193136757530075,0.8650793650793651,0.9166666666666666,0.4801587301587301,0.31547619047619047,0.2916666666666667,0.8650793650793651,0.9166666666666666,0.4801587301587301,B_Erhoeht,-0.051587422239586345,False,0.00285792980762678,-0.04925027944718818,-0.00829354748230171
2019-07-19,14.449999809265137,15.930000305175781,63.86000061035156,86.58999633789062,109.62000274658203,61.08000183105469,59.939998626708984,2976.610107421875,0.9070935048614042,0.7899105470565272,1.0190190729139876,0.873015873015873,0.9126984126984127,0.4920634920634921,0.4087301587301587,0.4365079365079365,0.873015873015873,0.9126984126984127,0.4920634920634921,B_Erhoeht,-0.04569292075791109,False,0.01654566712556682,-0.029540373985160184,-0.00351413342716389
2019-07-22,13.529999732971191,15.470000267028809,60.970001220703125,86.87999725341797,109.66999816894531,61.1150016784668,59.59000015258789,2985.030029296875,0.8745959598855122,0.7921947542989869,1.025591567745829,0.7956349206349206,0.876984126984127,0.4007936507936508,0.30952380952380953,0.30952380952380953,0.7956349206349206,0.876984126984127,0.4007936507936508,B_Erhoeht,-0.048384749976751684,False,0.0120400602518278,-0.02056264973909927,0.0035677705883108146
2019-07-23,12.609999656677246,14.930000305175781,61.22999954223633,87.02999877929688,109.48999786376953,61.529998779296875,60.02000045776367,3005.469970703125,0.8446081312071868,0.7948671155111537,1.0251582524161391,0.8015873015873016,0.8214285714285714,0.4007936507936508,0.15079365079365079,0.14285714285714285,0.8015873015873016,0.8214285714285714,0.4007936507936508,B_Erhoeht,-0.054856603011842475,False,0.0025653095897333333,-0.03492297775743369,-0.0052504365209755655
2019-07-24,12.069999694824219,14.5600004196167,60.709999084472656,87.0999984741211,109.6500015258789,61.84000015258789,59.619998931884766,3019.56005859375,0.8289834716324801,0.7943456202648962,1.0372358480455435,0.7777777777777778,0.8333333333333334,0.29761904761904767,0.057539682539682536,0.08333333333333333,0.7777777777777778,0.8333333333333334,0.29761904761904767,B_Erhoeht,-0.05926689897363524,False,-0.012975458351868863,-0.03150463150497107,-0.0071567072694487255
2019-07-25,12.739999771118164,15.050000190734863,60.9900016784668,86.9800033569336,109.45999908447266,61.494998931884766,59.70000076293945,3003.669921875,0.8465116019706903,0.7946282119901101,1.0300669706198666,0.7936507936507936,0.8174603174603174,0.35317460317460314,0.16666666666666666,0.15476190476190477,0.7936507936507936,0.8174603174603174,0.35317460317460314,B_Erhoeht,-0.054290194482140675,False,-0.016682879472312173,-0.02687378200755719,-0.005816208557370195
2019-07-26,12.15999984741211,14.6899995803833,58.900001525878906,87.16999816894531,109.44000244140625,61.775001525878906,60.369998931884766,3025.860107421875,0.8277740091735811,0.7965094684241787,1.023273192295057,0.7142857142857143,0.8015873015873016,0.4365079365079365,0.07738095238095238,0.08333333333333333,0.7142857142857143,0.8015873015873016,0.4365079365079365,B_Erhoeht,-0.06122556998296669,False,-0.031002774504892416,-0.05907411236942495,-0.006325519369452248
2019-07-29,12.829999923706055,15.0,58.54999923706055,87.04000091552734,109.54000091552734,61.474998474121094,60.47999954223633,3020.969970703125,0.8553333282470703,0.7945955832394865,1.0164517020406045,0.7003968253968254,0.8174603174603174,0.5238095238095238,0.1765873015873016,0.20238095238095238,0.7003968253968254,0.8174603174603174,0.5238095238095238,B_Erhoeht,-0.059705947028958484,False,-0.058335561815509474,-0.04720010105146377,-0.008268860899314334
2019-07-30,13.9399995803833,15.699999809265137,57.84000015258789,87.08000183105469,109.58999633789062,61.060001373291016,60.65999984741211,3013.179931640625,0.887898073231619,0.794598090527966,1.006594156394413,0.6825396825396826,0.8134920634920635,0.6746031746031746,0.3531746031746032,0.36507936507936506,0.6825396825396826,0.8134920634920635,0.6746031746031746,B_Erhoeht,-0.05727498453449753,False,-0.043611704276094954,-0.04779668748584609,-0.0028740109471855346
